월,날짜,내용,금액,대분류,소분류,지출방법,태그
1월,2026-01-06,자동차,3200,교통비,자동차,M본인,
1월,2026-01-01,카페/디저트,1700,식비,카페/디저트,M본인,
1월,2026-01-01,구독(Adobe),19000,고정지출,구독(Adobe),M가족,
1월,2026-01-02,병원/약국,2600,건강,병원/약국,M본인,
1월,2026-01-02,병원/약국,5400,건강,병원/약국,M본인,
1월,2026-01-02,식재료(오프),7200,식비,식재료(오프),M본인,
1월,2026-01-02,카페/디저트,1400,식비,카페/디저트,M본인,
1월,2026-01-02,생필품/소모품,10000,생활용품,생필품/소모품,M본인,
1월,2026-01-02,식재료(오프),10000,식비,식재료(오프),M본인,
1월,2026-01-03,카페/디저트,10000,식비,카페/디저트,M본인,
1월,2026-01-03,카페/디저트,14000,식비,카페/디저트,M본인,
1월,2026-01-03,카페/디저트,4800,식비,카페/디저트,M본인,
1월,2026-01-05,보험(주택화재),10000,고정지출,보험(주택화재),M본인,
1월,2026-01-05,앱/소프트웨어,15000,구독,앱/소프트웨어,M본인,
1월,2026-01-05,카페/디저트,4300,식비,카페/디저트,M본인,
1월,2026-01-05,전기세,36890,고정지출,전기세,M본인,
1월,2026-01-06,식재료(오프),1700,식비,식재료(오프),M본인,
1월,2026-01-06,카페/디저트,1700,식비,카페/디저트,M본인,
1월,2026-01-06,병원/약국,44000,건강,병원/약국,M본인,
1월,2026-01-06,⚠️확인필요,6000,⚠️확인필요,,M가족,
1월,2026-01-06,약국,6000,건강,약국,M본인,
1월,2026-01-07,외식(가족),10000,식비,외식(가족),M본인,
1월,2026-01-07,병원/약국,151900,건강,병원/약국,M본인,
1월,2026-01-07,⚠️확인필요,19000,⚠️확인필요,,M가족,
1월,2026-01-07,카페/디저트,4000,식비,카페/디저트,M본인,
1월,2026-01-07,식재료(오프),4600,식비,식재료(오프),M본인,
1월,2026-01-09,병원/약국,37700,건강,병원/약국,M본인,
1월,2026-01-10,책,21700,자기계발,책,M본인,
1월,2026-01-11,카페/디저트,1500,식비,카페/디저트,M본인,
1월,2026-01-11,외식(가족),2000,식비,외식(가족),M본인,
1월,2026-01-12,생필품/소모품,6000,생활용품,생필품/소모품,M본인,
1월,2026-01-12,⚠️확인필요,3000,⚠️확인필요,,M본인,
1월,2026-01-12,카페/디저트,60,식비,카페/디저트,M본인,
1월,2026-01-12,카페/디저트,60,식비,카페/디저트,M본인,
1월,2026-01-12,대중교통,30000,교통비,대중교통,M가족,
1월,2026-01-12,카페/디저트,2500,식비,카페/디저트,M본인,
1월,2026-01-12,통신(브),11890,고정지출,통신(브),M본인,
1월,2026-01-13,카페/디저트,5600,식비,카페/디저트,M본인,
1월,2026-01-13,카페/디저트,1500,식비,카페/디저트,M본인,
1월,2026-01-14,카페/디저트,4500,식비,카페/디저트,M본인,
1월,2026-01-15,생필품/소모품,3000,생활용품,생필품/소모품,M본인,
1월,2026-01-15,식재료(오프),16200,식비,식재료(오프),M본인,
1월,2026-01-16,카페/디저트,1800,식비,카페/디저트,M본인,
1월,2026-01-16,⚠️확인필요,2000,⚠️확인필요,,M본인,
1월,2026-01-16,카페/디저트,15000,식비,카페/디저트,M본인,
1월,2026-01-16,카페/디저트,1000,식비,카페/디저트,M본인,
1월,2026-01-16,⚠️확인필요,6000,⚠️확인필요,,M본인,
1월,2026-01-16,⚠️확인필요,6000,⚠️확인필요,,M본인,
1월,2026-01-17,식재료(오프),1580,식비,식재료(오프),M본인,
1월,2026-01-17,외식(가족),28000,식비,외식(가족),M본인,
1월,2026-01-18,외식(가족),40000,식비,외식(가족),M본인,
1월,2026-01-18,카페/디저트,6400,식비,카페/디저트,M본인,
1월,2026-01-19,인터넷(용산),36900,고정지출,인터넷(용산),M본인,
1월,2026-01-19,인터넷,23100,고정지출,인터넷,M본인,
1월,2026-01-19,통신(브),26590,고정지출,통신(브),M본인,
1월,2026-01-20,카페/디저트,1400,식비,카페/디저트,M본인,
1월,2026-01-20,의류,160100,의복/미용,의류,M본인,
1월,2026-01-24,의류,-160100,의복/미용,의류,M본인,
1월,2026-01-21,카페/디저트,1800,식비,카페/디저트,M본인,
1월,2026-01-21,생필품/소모품,91208,생활용품,생필품/소모품,M가족,
1월,2026-01-22,카페/디저트,2700,식비,카페/디저트,M본인,
1월,2026-01-23,보험(주택화재),16000,고정지출,보험(주택화재),M본인,
1월,2026-01-23,카페/디저트,2900,식비,카페/디저트,M본인,
1월,2026-01-24,멤버십,4900,구독,멤버십,M가족,
1월,2026-01-24,식재료(오프),5900,식비,식재료(오프),M가족,
1월,2026-01-24,주유비,52000,교통비,주유비,M가족,
1월,2026-01-25,식재료(오프),13000,식비,식재료(오프),M가족,
1월,2026-01-25,외식(가족),48000,식비,외식(가족),M가족,
1월,2026-01-25,카페/디저트,1400,식비,카페/디저트,M본인,
1월,2026-01-25,⚠️확인필요,26900,⚠️확인필요,,M가족,
1월,2026-01-25,식재료(온라인),89494,식비,식재료(온라인),M가족,
1월,2026-01-25,의류,152150,의복/미용,의류,M본인,
1월,2026-01-25,카페/디저트,3200,식비,카페/디저트,M본인,
1월,2026-01-26,카페/디저트,2900,식비,카페/디저트,M본인,
1월,2026-01-26,카페/디저트,1000,식비,카페/디저트,M본인,
1월,2026-01-27,카페/디저트,4350,식비,카페/디저트,M본인,
1월,2026-01-27,⚠️확인필요,60000,⚠️확인필요,,M본인,
1월,2026-01-28,병원/약국,700,건강,병원/약국,M본인,
1월,2026-01-28,카페/디저트,10000,식비,카페/디저트,M본인,
1월,2026-01-28,병원/약국,1000,건강,병원/약국,M본인,
1월,2026-01-28,⚠️확인필요,79000,⚠️확인필요,,M가족,
1월,2026-01-29,대중교통,30000,교통비,대중교통,M가족,
1월,2026-01-29,책,4400,자기계발,책,M본인,
1월,2026-01-29,카페/디저트,2900,식비,카페/디저트,M본인,
1월,2026-01-29,생필품/소모품,46300,생활용품,생필품/소모품,M가족,
1월,2026-01-29,외식(가족),1500,식비,외식(가족),M본인,
1월,2026-01-29,앱/소프트웨어,4900,구독,앱/소프트웨어,M가족,
1월,2026-01-31,카페/디저트,2900,식비,카페/디저트,M본인,
1월,2026-01-31,식재료(온라인),31520,식비,식재료(온라인),M가족,
1월,2026-01-11,해외구독,44019,구독,해외구독,M본인,
2월,2026-02-01,구독(Adobe),19000,고정지출,구독(Adobe),M가족,
2월,2026-02-01,카페/디저트,4700,식비,카페/디저트,M본인,
2월,2026-02-01,카페/디저트,13300,식비,카페/디저트,M본인,
2월,2026-02-02,외식(가족),3500,식비,외식(가족),M가족,
2월,2026-02-03,병원/약국,450000,건강,병원/약국,M가족,
2월,2026-02-03,카페/디저트,4000,식비,카페/디저트,M가족,
2월,2026-02-03,식재료(온라인),95881,식비,식재료(온라인),M가족,
2월,2026-02-03,약국,6000,건강,약국,M가족,
2월,2026-02-03,⚠️확인필요,43850,⚠️확인필요,,M가족,
2월,2026-02-03,카페/디저트,2400,식비,카페/디저트,M본인,
2월,2026-02-04,카페/디저트,33000,식비,카페/디저트,M가족,
2월,2026-02-04,카페/디저트,11600,식비,카페/디저트,M가족,
2월,2026-02-04,뷰티,129283,의복/미용,뷰티,M가족,
2월,2026-02-05,카페/디저트,2900,식비,카페/디저트,M본인,
2월,2026-02-05,카페/디저트,3300,식비,카페/디저트,M본인,
2월,2026-02-05,전기세,42300,고정지출,전기세,M본인,
2월,2026-02-07,식재료(오프),2980,식비,식재료(오프),M본인,
2월,2026-02-07,카페/디저트,1000,식비,카페/디저트,M본인,
2월,2026-02-08,외식(가족),36000,식비,외식(가족),M가족,
2월,2026-02-08,식재료(오프),5000,식비,식재료(오프),M본인,
2월,2026-02-08,식재료(오프),6000,식비,식재료(오프),M본인,
2월,2026-02-08,카페/디저트,11000,식비,카페/디저트,M가족,
2월,2026-02-09,카페/디저트,4500,식비,카페/디저트,M본인,
2월,2026-02-09,주차비,270,자동차,주차비,M본인,
2월,2026-02-10,대중교통,30000,교통비,대중교통,M가족,
2월,2026-02-10,외식(가족),5500,식비,외식(가족),M본인,
2월,2026-02-10,뷰티,12000,의복/미용,뷰티,M가족,
2월,2026-02-10,외식(가족),2500,식비,외식(가족),M본인,
2월,2026-02-11,식재료(온라인),102137,식비,식재료(온라인),M가족,
2월,2026-02-11,카페/디저트,2500,식비,카페/디저트,M본인,
2월,2026-02-11,카페/디저트,5200,식비,카페/디저트,M가족,
2월,2026-02-11,카페/디저트,4500,식비,카페/디저트,M가족,
2월,2026-02-11,통신(브),11890,고정지출,통신(브),M본인,
2월,2026-02-12,카페/디저트,2800,식비,카페/디저트,M본인,
2월,2026-02-13,식재료(온라인),58529,식비,식재료(온라인),M가족,
2월,2026-02-14,주유비,30000,자동차,주유비,M본인,
2월,2026-02-14,주유비,5000,자동차,주유비,M본인,
2월,2026-02-14,카페/디저트,3900,식비,카페/디저트,M본인,
2월,2026-02-14,카페/디저트,1000,식비,카페/디저트,M본인,
2월,2026-02-14,외식(가족),11000,식비,외식(가족),M본인,
2월,2026-02-14,카페/디저트,13500,식비,카페/디저트,M본인,
2월,2026-02-15,카페/디저트,6000,식비,카페/디저트,M가족,
2월,2026-02-15,카페/디저트,1700,식비,카페/디저트,M본인,
2월,2026-02-15,⚠️확인필요,10000,⚠️확인필요,,M가족,
2월,2026-02-15,식재료(오프),9000,식비,식재료(오프),M본인,
2월,2026-02-15,식재료(오프),5000,식비,식재료(오프),M본인,
2월,2026-02-15,카페/디저트,2900,식비,카페/디저트,M본인,
2월,2026-02-15,식재료(온라인),169788,식비,식재료(온라인),M가족,
2월,2026-02-16,외식(가족),3000,식비,외식(가족),M본인,
2월,2026-02-16,카페/디저트,17600,식비,카페/디저트,M본인,
2월,2026-02-16,카페/디저트,10000,식비,카페/디저트,M본인,
2월,2026-02-16,생필품/소모품,2000,생활용품,생필품/소모품,M본인,
2월,2026-02-17,식재료(오프),5360,식비,식재료(오프),M본인,
2월,2026-02-17,카페/디저트,2900,식비,카페/디저트,M본인,
2월,2026-02-17,식재료(오프),2200,식비,식재료(오프),M가족,
2월,2026-02-18,⚠️확인필요,19000,⚠️확인필요,,M가족,
2월,2026-02-18,⚠️확인필요,30000,⚠️확인필요,,M가족,
2월,2026-02-19,책,16200,자기계발,책,M가족,
2월,2026-02-19,식재료(오프),6000,식비,식재료(오프),M본인,
2월,2026-02-19,인터넷(용산),36900,고정지출,인터넷(용산),M본인,
2월,2026-02-19,인터넷,23100,고정지출,인터넷,M본인,
2월,2026-02-19,통신(브),26650,고정지출,통신(브),M본인,
2월,2026-02-20,외식(가족),34800,식비,외식(가족),M가족,
2월,2026-02-20,카페/디저트,1000,식비,카페/디저트,M본인,
2월,2026-02-20,식재료(온라인),30175,식비,식재료(온라인),M가족,
2월,2026-02-21,병원/약국,49700,건강,병원/약국,M가족,
2월,2026-02-21,식재료(온라인),54466,식비,식재료(온라인),M가족,
2월,2026-02-21,약국,3200,건강,약국,M가족,
2월,2026-02-22,카페/디저트,4500,식비,카페/디저트,M본인,
2월,2026-02-23,보험(주택화재),16000,고정지출,보험(주택화재),M본인,
2월,2026-02-23,식재료(온라인),58090,식비,식재료(온라인),M가족,
2월,2026-02-23,카페/디저트,13200,식비,카페/디저트,M본인,
2월,2026-02-23,외식(가족),42800,식비,외식(가족),M본인,
2월,2026-02-23,책,31400,자기계발,책,M본인,
2월,2026-02-23,외식(가족),71000,식비,외식(가족),M본인,
2월,2026-02-24,멤버십,4900,구독,멤버십,M가족,
2월,2026-02-24,카페/디저트,2900,식비,카페/디저트,M본인,
2월,2026-02-25,카페/디저트,5500,식비,카페/디저트,M가족,
2월,2026-02-25,외식(가족),25000,식비,외식(가족),M가족,
2월,2026-02-25,식재료(온라인),63884,식비,식재료(온라인),M가족,
2월,2026-02-25,카페/디저트,11800,식비,카페/디저트,M가족,
2월,2026-02-25,주차비,3500,교통비,주차비,M본인,
2월,2026-02-26,외식(가족),40000,식비,외식(가족),M본인,
2월,2026-02-26,카페/디저트,2900,식비,카페/디저트,M본인,
2월,2026-02-27,강의,32680,자기계발,강의,M가족,
2월,2026-02-27,외식(가족),14000,식비,외식(가족),M본인,
2월,2026-02-27,카페/디저트,1100,식비,카페/디저트,M본인,
2월,2026-02-28,카페/디저트,2500,식비,카페/디저트,M본인,
2월,2026-02-28,앱/소프트웨어,4900,구독,앱/소프트웨어,M가족,
2월,2026-02-28,카페/디저트,1700,식비,카페/디저트,M본인,
2월,2026-02-28,카페/디저트,2000,식비,카페/디저트,M가족,
2월,2026-02-08,해외구독,44105,구독,해외구독,M본인,
3월,2026-03-01,구독(Adobe),19000,고정지출,구독(Adobe),M가족,
3월,2026-03-01,카페/디저트,5900,식비,카페/디저트,M가족,
3월,2026-03-01,카페/디저트,2900,식비,카페/디저트,M본인,
3월,2026-03-01,⚠️확인필요,1800,⚠️확인필요,,M본인,
3월,2026-03-02,⚠️확인필요,15700,⚠️확인필요,,M가족,
3월,2026-03-02,외식(가족),22000,식비,외식(가족),M본인,
3월,2026-03-02,카페/디저트,2900,식비,카페/디저트,M본인,
3월,2026-03-02,대중교통,30000,교통비,대중교통,M가족,
3월,2026-03-02,⚠️확인필요,7000,⚠️확인필요,,M가족,
3월,2026-03-03,카페/디저트,4500,식비,카페/디저트,M본인,
3월,2026-03-03,카페/디저트,2500,식비,카페/디저트,M본인,
3월,2026-03-04,선물,48430,생활용품,생필품/소모품,M가족,
3월,2026-03-04,식재료(온라인),93511,식비,식재료(온라인),M가족,
3월,2026-03-04,카페/디저트,19200,식비,카페/디저트,M가족,
3월,2026-03-04,⚠️확인필요,4950,⚠️확인필요,,M가족,
3월,2026-03-05,카페/디저트,2900,식비,카페/디저트,M본인,
3월,2026-03-05,전기세,41020,고정지출,전기세,M본인,
3월,2026-03-06,병원/약국,36500,건강,병원/약국,M본인,
3월,2026-03-06,카페/디저트,2900,식비,카페/디저트,M본인,
3월,2026-03-06,⚠️확인필요,50000,⚠️확인필요,,M본인,
3월,2026-03-06,약국,9000,건강,약국,M본인,
3월,2026-03-06,카페/디저트,1500,식비,카페/디저트,M본인,
3월,2026-03-07,병원/약국,350000,건강,병원/약국,M가족,
3월,2026-03-07,책,17820,자기계발,책,M본인,
3월,2026-03-07,카페/디저트,1500,식비,카페/디저트,M가족,
3월,2026-03-07,⚠️확인필요,24000,⚠️확인필요,,M가족,
3월,2026-03-07,⚠️확인필요,7700,⚠️확인필요,,M가족,
3월,2026-03-08,외식(가족),33000,식비,외식(가족),M가족,
3월,2026-03-08,카페/디저트,6500,식비,카페/디저트,M가족,
3월,2026-03-08,대중교통,10000,교통비,대중교통,M본인,
3월,2026-03-08,카페/디저트,7500,식비,카페/디저트,M가족,
3월,2026-03-09,외식(가족),24000,식비,외식(가족),M본인,
3월,2026-03-09,⚠️확인필요,11000,⚠️확인필요,,M본인,
3월,2026-03-09,⚠️확인필요,16880,⚠️확인필요,,M가족,
3월,2026-03-09,⚠️확인필요,2900,⚠️확인필요,,M본인,
3월,2026-03-09,카페/디저트,2900,식비,카페/디저트,M본인,
3월,2026-03-10,카페/디저트,2900,식비,카페/디저트,M본인,
