월,날짜,내용,금액,대분류,소분류,지출방법,태그
1월,2026-01-25,부모급여,200000,수입,아동수당,현금(재),
2월,2026-02-25,부모급여,200000,수입,아동수당,현금(재),
3월,2026-03-25,부모급여,200000,수입,아동수당,현금(재),
4월,2026-04-25,부모급여,200000,수입,아동수당,현금(재),
4월,2026-04-25,재미월급,3420000,수입,월급(재),현금(재),
5월,2026-05-25,부모급여,200000,수입,아동수당,현금(재),
5월,2026-05-25,재미월급,3420000,수입,월급(재),현금(재),
6월,2026-06-25,부모급여,200000,수입,아동수당,현금(재),
6월,2026-06-25,재미월급,3420000,수입,월급(재),현금(재),
7월,2026-07-25,부모급여,200000,수입,아동수당,현금(재),
7월,2026-07-25,재미월급,3420000,수입,월급(재),현금(재),
6월,2026-06-22,실업급여(1회차),528380,수입,부수입,현금(브),
7월,2026-07-20,실업급여(2회차),1783290,수입,부수입,현금(브),
1월,2026-01-11,PERSONALITY 환불상계,-44019,구독,해외구독,M본인,
2월,2026-02-08,PERSONALITY 환불상계,-44105,구독,해외구독,M본인,
3월,2026-03-08,PERSONALITY 환불상계,-44110,구독,해외구독,M본인,
4월,2026-04-05,PERSONALITY 환불상계,-44073,구독,해외구독,M본인,
5월,2026-05-03,PERSONALITY 환불상계,-44018,구독,해외구독,M본인,
5월,2026-05-31,PERSONALITY 환불상계,-44321,구독,해외구독,M본인,
6월,2026-06-08,PERSONALITY 환불(2025분),90623,수입,부수입,현금(브),
1월,2026-01-22,농협대출이자,174661,고정지출,이자,현금(브),
2월,2026-02-22,농협대출이자,174661,고정지출,이자,현금(브),
3월,2026-03-22,농협대출이자,156378,고정지출,이자,현금(브),
4월,2026-04-22,농협대출이자,173132,고정지출,이자,현금(브),
5월,2026-05-22,농협대출이자,167658,고정지출,이자,현금(브),
6월,2026-06-22,농협대출이자,194153,고정지출,이자,현금(브),
1월,2026-01-20,서암빌리지관리비(유어홈종합관),50000,고정지출,관리비,현금(브),
2월,2026-02-20,서암빌리지관리비(유어홈종합관),50000,고정지출,관리비,현금(브),
3월,2026-03-20,서암빌리지관리비(유어홈종합관),50000,고정지출,관리비,현금(브),
4월,2026-04-20,서암빌리지관리비(유어홈종합관),50000,고정지출,관리비,현금(브),
5월,2026-05-20,서암빌리지관리비(유어홈종합관),50000,고정지출,관리비,현금(브),
6월,2026-06-20,서암빌리지관리비(유어홈종합관),50000,고정지출,관리비,현금(브),
1월,2026-01-25,한화생명 종신 보험,39335,고정지출,보험(브/종신),현금(브),
2월,2026-02-25,한화생명 종신 보험,39335,고정지출,보험(브/종신),현금(브),
3월,2026-03-25,한화생명 종신 보험,39335,고정지출,보험(브/종신),현금(브),
4월,2026-04-25,한화생명 종신 보험,39335,고정지출,보험(브/종신),현금(브),
5월,2026-05-25,한화생명 종신 보험,39335,고정지출,보험(브/종신),현금(브),
6월,2026-06-25,한화생명 종신 보험,39335,고정지출,보험(브/종신),현금(브),
